MAZ2010,TOTAL_HOUSEHOLDS,TOTAL_GQ
1678,180,0
1679,168,0
1680,161,0
1681,92,0
1682,177,0
1683,78,0
1684,419,0
1685,288,21
1686,222,0
1687,192,0
1688,177,0
1689,203,6
1690,221,0
1691,296,2
1692,334,0
1693,195,0
1694,288,0
1695,205,0
1696,110,0
1697,133,0
1698,158,0
1699,151,0
1700,156,0
1701,90,0
1702,126,4
1703,80,0
1704,123,0
1705,105,0
1706,83,0
1707,50,0
1708,102,0
1709,0,0
1710,146,0
1711,0,0
1712,115,21
1713,189,4
1714,213,210
1715,0,0
1716,0,0
1717,254,3
1718,182,11
1719,72,0
1720,0,0
1721,617,0
1722,126,0
1723,120,0
1724,317,0
1725,174,0
1726,274,0
1727,202,0
1728,210,0
1729,167,2
1730,295,0
1731,146,0
1732,144,0
1733,201,0
1734,104,0
1735,200,0
1736,171,13
1737,155,6
1738,108,3
1739,159,0
1740,130,0
1741,189,0
1742,173,0
1743,0,0
1744,0,0
1745,0,0
1746,141,0
1747,174,0
1748,33,0
1749,46,0
1750,111,0
1751,130,13
1752,168,0
1753,0,0
1754,149,17
1755,0,0
1756,117,40
1757,82,7
1758,3,0
1759,194,0
1760,196,0
1761,11,0
1762,101,0
1763,3,0
1764,0,0
1765,94,0
1766,0,0
1767,0,0
1768,0,0
1769,126,0
1770,49,0
1771,317,42
1772,166,0
1773,119,0
1774,113,4
1775,59,0
1776,150,6
1777,209,19
1778,81,0
1779,186,0
1780,234,0
1781,0,0
1782,50,0
1783,230,0
1784,97,0
1785,118,0
1786,124,0
1787,0,0
1788,111,114
1789,79,0
1790,206,0
1791,82,0
1792,0,0
1793,114,0
1794,92,0
1795,31,0
1796,403,8
1797,413,0
1798,223,0
1799,226,0
1800,314,0
1801,242,0
1802,436,153
1803,25,0
1804,43,0
1805,3,0
1806,210,0
1807,194,0
1808,81,0
1809,108,0
1810,114,0
1811,112,0
1812,0,0
1813,283,0
1814,243,0
1815,188,0
1816,163,0
1817,413,0
1818,167,0
1819,1,0
1820,81,0
1821,236,0
1822,364,8
1823,848,0
1824,332,0
1825,343,0
1826,228,0
1827,359,0
1828,205,14
1829,212,0
1830,149,0
1831,185,0
1832,207,0
1833,172,0
1834,195,0
1835,114,0
1836,184,0
1837,140,0
1838,163,0
1839,17,0
1840,61,0
1841,114,0
1842,94,0
1843,109,0
1844,379,85
1845,9,0
1846,0,0
1847,168,0
1848,112,0
1849,174,0
1850,283,0
1851,204,0
1852,12,239
1853,299,0
1854,489,0
1855,105,0
1856,211,0
1857,345,0
1858,29,0
1859,44,0
1860,195,1003
1861,0,0
1862,0,0
