MAZ2010,TOTAL_HOUSEHOLDS,TOTAL_GQ
1239,187,0
1240,334,0
1241,214,0
1242,230,0
1243,297,0
1244,81,0
1245,124,0
1246,35,0
1247,154,0
1248,72,0
1249,105,0
1250,153,0
1251,224,6
1252,117,9
1253,161,0
1254,127,11
1255,215,7
1256,96,0
1257,186,0
1258,160,0
1259,100,0
1260,136,0
1261,88,0
1262,25,0
1263,155,0
1264,125,0
1265,214,0
1266,275,0
1267,305,0
1268,188,0
1269,167,0
1270,134,8
1271,184,0
1272,98,0
1273,124,5
1274,301,0
1275,307,0
1276,403,0
1277,664,0
1278,149,19
1279,545,0
1280,51,7
1281,175,0
1282,67,0
1283,123,0
1284,257,0
1285,145,0
1286,0,0
1287,80,5
1288,226,8
1289,204,0
1290,149,0
1291,111,0
1292,0,0
1293,342,41
1294,435,0
1295,121,0
1296,383,0
1297,394,0
1298,615,0
1299,0,0
1300,220,0
1301,314,0
1302,307,0
1303,72,0
1304,220,28
1305,134,0
1306,123,0
1307,100,0
1308,70,0
1309,145,0
1310,140,9
1311,78,0
1312,180,0
1313,67,0
1314,255,0
1315,213,7
1316,119,0
1317,152,0
1318,179,0
1319,106,0
1320,345,13
1321,125,7
1322,401,0
1323,117,0
1324,66,0
1325,149,7
1326,71,11
1327,95,0
1328,0,0
1329,98,10
1330,239,0
1331,198,0
1332,0,0
1333,155,18
1334,320,0
1335,315,61
1336,355,0
1337,125,0
1338,186,0
1339,63,0
1340,167,0
1341,311,55
1342,362,0
1343,311,0
1344,200,39
1345,33,0
1346,186,0
1347,715,294
1348,1,0
1349,0,0
1350,174,0
1351,355,48
1352,191,0
1353,179,0
1354,205,6
1355,130,13
1356,92,0
1357,427,116
1358,166,6
1359,359,21
1360,262,0
1361,202,0
1362,153,0
1363,181,0
1364,300,0
1365,107,0
1366,257,0
1367,134,0
1368,204,0
1369,439,0
1370,129,0
1371,128,2
1372,86,0
1373,153,0
1374,191,12
1375,125,13
1376,175,0
1377,85,0
1378,152,0
1379,140,0
1380,101,0
1381,252,0
1382,106,4
1383,159,8
1384,103,0
1385,119,0
1386,227,0
1387,26,0
1388,230,8
1389,270,12
1390,185,0
1391,164,0
